Latitude (decimal degrees):	28.095
Longitude (decimal degrees):	-15.487
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 27 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	20.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231026:0109,0.0,0.0,0.0,0.0,0.0,20.66,4.55,0.0
20231026:0209,0.0,0.0,0.0,0.0,0.0,20.53,4.28,0.0
20231026:0309,0.0,0.0,0.0,0.0,0.0,20.48,4.07,0.0
20231026:0409,0.0,0.0,0.0,0.0,0.0,20.36,4.21,0.0
20231026:0509,0.0,0.0,0.0,0.0,0.0,20.38,4.41,0.0
20231026:0609,0.0,0.0,0.0,0.0,0.0,20.35,4.62,0.0
20231026:0709,0.0,0.0,0.0,0.0,0.0,20.39,4.83,0.0
20231026:0809,71.92,27.12,85.19,1.1,11.9,20.68,5.31,0.0
20231026:0909,143.93,28.85,172.89,2.14,23.84,21.24,5.66,0.0
20231026:1009,244.47,61.53,267.75,3.44,34.59,21.91,5.93,0.0
20231026:1109,208.15,12.84,271.93,3.16,43.28,22.55,6.0,0.0
20231026:1209,404.4,155.63,383.47,5.42,48.58,22.74,5.93,0.0
20231026:1309,381.31,126.67,382.85,5.2,49.13,22.98,5.86,0.0
20231026:1409,580.5,479.41,298.54,6.83,44.76,23.0,5.72,0.0
20231026:1509,475.13,367.23,265.77,5.52,36.67,22.94,5.38,0.0
20231026:1609,324.42,227.74,206.23,3.75,26.27,22.74,5.1,0.0
20231026:1709,215.97,204.36,98.91,2.21,14.54,22.43,5.03,0.0
20231026:1809,0.9,0.0,8.21,0.1,2.04,21.97,5.1,0.0
20231026:1909,0.0,0.0,0.0,0.0,0.0,21.39,5.17,0.0
20231026:2009,0.0,0.0,0.0,0.0,0.0,21.11,5.38,0.0
20231026:2109,0.0,0.0,0.0,0.0,0.0,20.93,5.38,0.0
20231026:2209,0.0,0.0,0.0,0.0,0.0,20.84,5.17,0.0
20231026:2309,0.0,0.0,0.0,0.0,0.0,20.65,4.83,0.0
20231027:0009,0.0,0.0,0.0,0.0,0.0,20.55,4.9,0.0
20231027:0109,0.0,0.0,0.0,0.0,0.0,20.36,5.03,0.0
20231027:0209,0.0,0.0,0.0,0.0,0.0,20.32,4.76,0.0
20231027:0309,0.0,0.0,0.0,0.0,0.0,20.39,4.69,0.0
20231027:0409,0.0,0.0,0.0,0.0,0.0,20.42,4.69,0.0
20231027:0509,0.0,0.0,0.0,0.0,0.0,20.33,4.62,0.0
20231027:0609,0.0,0.0,0.0,0.0,0.0,20.42,4.55,0.0
20231027:0709,0.0,0.0,0.0,0.0,0.0,20.5,4.48,0.0
20231027:0809,85.56,43.65,87.69,1.21,11.73,20.64,4.55,0.0
20231027:0909,53.4,0.0,86.11,0.97,23.64,21.26,4.83,0.0
20231027:1009,317.96,143.38,281.0,4.13,34.34,22.07,4.97,0.0
20231027:1109,498.01,342.81,323.43,6.08,42.99,22.81,5.03,0.0
20231027:1209,382.8,134.43,379.09,5.21,48.25,23.16,5.03,0.0
20231027:1309,654.61,604.88,283.3,7.7,48.79,23.39,5.31,0.0
20231027:1409,258.06,36.42,313.67,3.79,44.44,23.33,5.52,0.0
20231027:1509,306.41,114.96,296.11,4.09,36.4,23.31,5.72,0.0
20231027:1609,263.37,140.06,214.8,3.27,26.04,23.07,5.86,0.0
20231027:1709,189.63,159.13,108.57,2.03,14.34,22.66,5.72,0.0
20231027:1809,0.22,0.0,6.39,0.07,1.86,21.92,5.52,0.0
20231027:1909,0.0,0.0,0.0,0.0,0.0,21.5,4.9,0.0
20231027:2009,0.0,0.0,0.0,0.0,0.0,21.13,4.83,0.0
20231027:2109,0.0,0.0,0.0,0.0,0.0,20.87,4.55,0.0
20231027:2209,0.0,0.0,0.0,0.0,0.0,20.69,4.41,0.0
20231027:2309,0.0,0.0,0.0,0.0,0.0,20.63,4.28,0.0
20231028:0009,0.0,0.0,0.0,0.0,0.0,20.66,4.0,0.0
20231028:0109,0.0,0.0,0.0,0.0,0.0,20.62,3.59,0.0
20231028:0209,0.0,0.0,0.0,0.0,0.0,20.55,3.31,0.0
20231028:0309,0.0,0.0,0.0,0.0,0.0,20.42,3.31,0.0
20231028:0409,0.0,0.0,0.0,0.0,0.0,20.3,3.31,0.0
20231028:0509,0.0,0.0,0.0,0.0,0.0,20.27,2.97,0.0
20231028:0609,0.0,0.0,0.0,0.0,0.0,20.14,2.9,0.0
20231028:0709,0.0,0.0,0.0,0.0,0.0,19.93,3.03,0.0
20231028:0809,155.62,154.02,76.17,1.68,11.56,20.22,3.24,0.0
20231028:0909,358.33,350.89,129.12,3.86,23.44,21.03,3.59,0.0
20231028:1009,453.3,376.71,230.64,5.26,34.1,21.86,3.38,0.0
20231028:1109,511.94,389.48,304.87,6.22,42.7,22.7,3.17,0.0
20231028:1209,509.99,331.54,362.45,6.43,47.92,23.07,3.24,0.0
20231028:1309,418.4,184.32,382.44,5.59,48.45,23.31,3.38,0.0
20231028:1409,248.36,33.96,305.76,3.69,44.14,23.32,3.45,0.0
20231028:1509,156.22,6.72,213.58,2.46,36.13,23.26,3.45,0.0
20231028:1609,137.29,19.93,175.59,2.1,25.81,23.03,3.31,0.0
20231028:1709,69.02,14.93,92.9,1.12,14.14,22.55,3.31,0.0
20231028:1809,0.0,0.0,3.65,0.04,1.68,21.9,3.17,0.0
20231028:1909,0.0,0.0,0.0,0.0,0.0,21.24,2.21,0.0
20231028:2009,0.0,0.0,0.0,0.0,0.0,21.0,1.72,0.0
20231028:2109,0.0,0.0,0.0,0.0,0.0,20.72,1.38,0.0
20231028:2209,0.0,0.0,0.0,0.0,0.0,20.5,1.17,0.0
20231028:2309,0.0,0.0,0.0,0.0,0.0,19.84,0.83,0.0
20231029:0009,0.0,0.0,0.0,0.0,0.0,19.99,0.55,0.0
20231029:0109,0.0,0.0,0.0,0.0,0.0,20.0,0.48,0.0
20231029:0209,0.0,0.0,0.0,0.0,0.0,19.49,0.76,0.0
20231029:0309,0.0,0.0,0.0,0.0,0.0,18.89,1.1,0.0
20231029:0409,0.0,0.0,0.0,0.0,0.0,18.68,1.17,0.0
20231029:0509,0.0,0.0,0.0,0.0,0.0,18.73,1.17,0.0
20231029:0609,0.0,0.0,0.0,0.0,0.0,18.75,1.17,0.0
20231029:0709,0.0,0.0,0.0,0.0,0.0,18.17,1.45,0.0
20231029:0809,152.55,147.82,77.2,1.63,11.39,18.3,1.59,0.0
20231029:0909,370.88,381.33,120.84,3.97,23.23,20.54,1.79,0.0
20231029:1009,476.93,435.65,212.32,5.49,33.86,21.57,1.93,0.0
20231029:1109,514.77,396.23,306.03,6.26,42.42,22.37,2.48,0.0
20231029:1209,566.86,443.68,335.73,6.97,47.6,22.98,2.76,0.0
20231029:1309,322.3,77.62,361.57,4.62,48.12,23.37,2.69,0.0
20231029:1409,536.01,424.79,312.88,6.51,43.83,23.48,2.48,0.0
20231029:1509,223.56,43.18,265.61,3.28,35.87,23.52,2.14,0.0
20231029:1609,226.32,101.73,211.14,2.98,25.59,23.31,1.38,0.0
20231029:1709,177.25,147.71,108.11,1.93,13.95,22.73,0.48,0.0
20231029:1809,0.0,0.0,1.83,0.02,1.51,22.02,0.62,0.0
20231029:1909,0.0,0.0,0.0,0.0,0.0,21.48,0.76,0.0
20231029:2009,0.0,0.0,0.0,0.0,0.0,20.96,1.03,0.0
20231029:2109,0.0,0.0,0.0,0.0,0.0,20.52,1.1,0.0
20231029:2209,0.0,0.0,0.0,0.0,0.0,19.86,0.9,0.0
20231029:2309,0.0,0.0,0.0,0.0,0.0,20.08,0.55,0.0
20231030:0009,0.0,0.0,0.0,0.0,0.0,19.97,0.48,0.0
20231030:0109,0.0,0.0,0.0,0.0,0.0,19.86,0.41,0.0
20231030:0209,0.0,0.0,0.0,0.0,0.0,19.79,0.76,0.0
20231030:0309,0.0,0.0,0.0,0.0,0.0,19.8,0.62,0.0
20231030:0409,0.0,0.0,0.0,0.0,0.0,19.79,0.28,0.0
20231030:0509,0.0,0.0,0.0,0.0,0.0,19.72,0.21,0.0
20231030:0609,0.0,0.0,0.0,0.0,0.0,19.65,0.55,0.0
20231030:0709,0.0,0.0,0.0,0.0,0.0,19.76,0.83,0.0
20231030:0809,125.01,102.71,85.01,1.45,11.21,19.8,0.83,0.0
20231030:0909,363.24,374.06,120.88,3.9,23.03,20.67,1.17,0.0
20231030:1009,523.39,568.55,149.76,5.89,33.62,21.77,1.59,0.0
20231030:1109,627.8,697.81,177.1,7.31,42.13,22.53,2.0,0.0
20231030:1209,701.19,821.99,166.71,8.27,47.27,23.04,2.34,0.0
20231030:1309,722.64,868.58,151.38,8.48,47.79,23.33,2.62,0.0
20231030:1409,633.19,662.06,215.42,7.33,43.53,23.41,2.83,0.0
20231030:1509,559.84,599.14,166.51,6.2,35.61,23.37,2.9,0.0
20231030:1609,346.49,281.17,187.57,3.85,25.37,23.19,2.97,0.0
20231030:1709,69.97,16.98,92.33,1.12,13.76,22.78,3.03,0.0
20231030:1809,0.0,0.0,2.74,0.03,1.34,22.11,2.76,0.0
20231030:1909,0.0,0.0,0.0,0.0,0.0,21.69,2.14,0.0
20231030:2009,0.0,0.0,0.0,0.0,0.0,21.17,1.45,0.0
20231030:2109,0.0,0.0,0.0,0.0,0.0,20.49,1.03,0.0
20231030:2209,0.0,0.0,0.0,0.0,0.0,19.91,0.83,0.0
20231030:2309,0.0,0.0,0.0,0.0,0.0,20.07,0.76,0.0
20231031:0009,0.0,0.0,0.0,0.0,0.0,20.03,0.83,0.0
20231031:0109,0.0,0.0,0.0,0.0,0.0,19.21,1.1,0.0
20231031:0209,0.0,0.0,0.0,0.0,0.0,18.53,1.38,0.0
20231031:0309,0.0,0.0,0.0,0.0,0.0,18.19,1.59,0.0
20231031:0409,0.0,0.0,0.0,0.0,0.0,17.99,1.72,0.0
20231031:0509,0.0,0.0,0.0,0.0,0.0,17.97,1.79,0.0
20231031:0609,0.0,0.0,0.0,0.0,0.0,18.07,1.79,0.0
20231031:0709,0.0,0.0,0.0,0.0,0.0,19.05,1.31,0.0
20231031:0809,145.91,141.7,76.28,1.56,11.04,19.83,1.03,0.0
20231031:0909,375.56,407.89,107.5,4.0,22.83,21.11,0.83,0.0
20231031:1009,517.08,578.0,143.46,5.88,33.38,22.47,0.76,0.0
20231031:1109,622.43,734.64,156.35,7.38,41.84,23.3,0.83,0.0
20231031:1209,680.41,824.98,161.24,8.22,46.95,23.99,1.1,0.0
20231031:1309,616.95,605.9,275.39,7.54,47.47,23.93,1.17,0.0
20231031:1409,485.76,351.48,328.11,6.1,43.23,24.03,1.03,0.0
20231031:1509,365.9,220.61,287.3,4.66,35.35,24.27,0.62,0.0
20231031:1609,379.17,371.45,154.64,4.11,25.15,23.97,0.69,0.0
20231031:1709,168.95,139.11,105.59,1.84,13.57,23.57,1.17,0.0
20231031:1809,0.0,0.0,0.0,0.0,0.0,23.07,1.45,0.0
20231031:1909,0.0,0.0,0.0,0.0,0.0,22.57,1.79,0.0
20231031:2009,0.0,0.0,0.0,0.0,0.0,22.06,1.66,0.0
20231031:2109,0.0,0.0,0.0,0.0,0.0,21.68,1.31,0.0
20231031:2209,0.0,0.0,0.0,0.0,0.0,21.47,1.03,0.0
20231031:2309,0.0,0.0,0.0,0.0,0.0,21.07,1.1,0.0
20231101:0009,0.0,0.0,0.0,0.0,0.0,20.71,1.45,0.0
20231101:0109,0.0,0.0,0.0,0.0,0.0,20.74,2.0,0.0
20231101:0209,0.0,0.0,0.0,0.0,0.0,20.65,2.34,0.0
20231101:0309,0.0,0.0,0.0,0.0,0.0,20.61,2.55,0.0
20231101:0409,0.0,0.0,0.0,0.0,0.0,20.49,2.69,0.0
20231101:0509,0.0,0.0,0.0,0.0,0.0,20.48,2.97,0.0
20231101:0609,0.0,0.0,0.0,0.0,0.0,20.47,3.38,0.0
20231101:0709,0.0,0.0,0.0,0.0,0.0,20.89,4.07,0.0
20231101:0809,79.31,43.28,80.36,1.1,10.86,21.1,4.34,0.0
20231101:0909,321.82,279.04,152.24,3.49,22.62,21.7,4.55,0.0
20231101:1009,404.08,287.02,251.37,4.75,33.14,22.76,4.9,0.0
20231101:1109,547.16,460.15,274.82,6.37,41.56,23.47,5.17,0.0
20231101:1209,455.94,243.83,368.58,5.82,46.64,23.91,5.31,0.0
20231101:1309,712.41,804.23,171.74,8.1,47.15,24.29,5.24,0.0
20231101:1409,676.94,773.32,150.88,7.55,42.94,24.34,5.03,0.0
20231101:1509,466.77,377.57,248.86,5.32,35.1,24.23,5.03,0.0
20231101:1609,401.34,397.14,140.25,4.13,24.94,23.95,5.45,0.0
20231101:1709,147.64,105.96,106.92,1.68,13.39,23.35,5.72,0.0
20231101:1809,0.0,0.0,0.0,0.0,0.0,22.55,5.72,0.0
20231101:1909,0.0,0.0,0.0,0.0,0.0,22.01,6.21,0.0
20231101:2009,0.0,0.0,0.0,0.0,0.0,21.73,6.28,0.0
20231101:2109,0.0,0.0,0.0,0.0,0.0,21.47,6.34,0.0
20231101:2209,0.0,0.0,0.0,0.0,0.0,21.33,6.34,0.0
20231101:2309,0.0,0.0,0.0,0.0,0.0,21.21,6.0,0.0
20231102:0009,0.0,0.0,0.0,0.0,0.0,21.12,5.86,0.0
20231102:0109,0.0,0.0,0.0,0.0,0.0,21.09,5.66,0.0
20231102:0209,0.0,0.0,0.0,0.0,0.0,20.99,5.52,0.0
20231102:0309,0.0,0.0,0.0,0.0,0.0,20.97,5.59,0.0
20231102:0409,0.0,0.0,0.0,0.0,0.0,20.91,5.59,0.0
20231102:0509,0.0,0.0,0.0,0.0,0.0,20.84,5.72,0.0
20231102:0609,0.0,0.0,0.0,0.0,0.0,20.75,5.72,0.0
20231102:0709,0.0,0.0,0.0,0.0,0.0,20.59,5.45,0.0
20231102:0809,113.43,87.8,82.97,1.32,10.69,20.66,5.52,0.0
20231102:0909,109.09,11.53,146.14,1.72,22.42,21.25,5.86,0.0
20231102:1009,426.53,315.49,248.32,4.9,32.89,21.94,5.79,0.0
20231102:1109,623.07,619.04,214.71,6.97,41.28,22.6,5.86,0.0
20231102:1209,679.92,679.15,237.38,7.71,46.32,23.05,6.14,0.0
20231102:1309,572.61,422.58,342.19,6.8,46.83,23.31,6.76,0.0
20231102:1409,462.79,268.97,343.89,5.66,42.66,23.09,7.45,0.0
20231102:1509,488.61,395.79,247.79,5.42,34.86,22.74,7.72,0.0
20231102:1609,96.0,2.94,138.46,1.58,24.73,22.21,7.79,0.0
20231102:1709,79.65,26.35,94.95,1.19,13.21,21.69,7.66,0.0
20231102:1809,0.0,0.0,0.0,0.0,0.0,21.08,7.72,0.0
20231102:1909,0.0,0.0,0.0,0.0,0.0,20.98,8.0,0.0
20231102:2009,0.0,0.0,0.0,0.0,0.0,20.89,7.79,0.0
20231102:2109,0.0,0.0,0.0,0.0,0.0,20.84,7.17,0.0
20231102:2209,0.0,0.0,0.0,0.0,0.0,20.76,6.21,0.0
20231102:2309,0.0,0.0,0.0,0.0,0.0,20.71,5.79,0.0
20231103:0009,0.0,0.0,0.0,0.0,0.0,20.72,5.72,0.0
20231103:0109,0.0,0.0,0.0,0.0,0.0,20.71,5.79,0.0
20231103:0209,0.0,0.0,0.0,0.0,0.0,20.74,6.0,0.0
20231103:0309,0.0,0.0,0.0,0.0,0.0,20.69,6.28,0.0
20231103:0409,0.0,0.0,0.0,0.0,0.0,20.67,6.55,0.0
20231103:0509,0.0,0.0,0.0,0.0,0.0,20.62,6.76,0.0
20231103:0609,0.0,0.0,0.0,0.0,0.0,20.49,6.83,0.0
20231103:0709,0.0,0.0,0.0,0.0,0.0,20.56,6.76,0.0
20231103:0809,63.81,26.72,75.1,0.96,10.51,20.72,6.62,0.0
20231103:0909,88.61,4.35,127.25,1.46,22.21,21.42,6.9,0.0
20231103:1009,341.8,183.67,268.7,4.21,32.65,22.14,6.83,0.0
20231103:1109,293.07,74.21,317.97,4.08,41.0,22.62,6.76,0.0
20231103:1209,375.89,133.95,365.54,5.02,46.01,22.96,7.31,0.0
20231103:1309,247.31,25.02,309.42,3.66,46.52,23.01,7.59,0.0
20231103:1409,59.51,0.0,94.62,1.07,42.37,22.87,7.66,0.0
20231103:1509,105.16,0.0,153.29,1.73,34.62,22.4,7.59,0.0
20231103:1609,158.46,36.96,183.0,2.28,24.53,22.01,7.59,0.0
20231103:1709,104.35,51.53,102.15,1.37,13.04,21.33,7.45,0.0
20231103:1809,0.0,0.0,0.0,0.0,0.0,20.55,7.1,0.0
20231103:1909,0.0,0.0,0.0,0.0,0.0,20.11,6.97,0.0
20231103:2009,0.0,0.0,0.0,0.0,0.0,19.83,6.83,0.0
20231103:2109,0.0,0.0,0.0,0.0,0.0,19.71,6.97,0.0
20231103:2209,0.0,0.0,0.0,0.0,0.0,19.56,6.97,0.0
20231103:2309,0.0,0.0,0.0,0.0,0.0,19.5,6.62,0.0
20231104:0009,0.0,0.0,0.0,0.0,0.0,19.36,6.34,0.0
20231104:0109,0.0,0.0,0.0,0.0,0.0,19.28,6.07,0.0
20231104:0209,0.0,0.0,0.0,0.0,0.0,19.19,5.79,0.0
20231104:0309,0.0,0.0,0.0,0.0,0.0,19.11,5.72,0.0
20231104:0409,0.0,0.0,0.0,0.0,0.0,19.1,5.59,0.0
20231104:0509,0.0,0.0,0.0,0.0,0.0,19.09,5.52,0.0
20231104:0609,0.0,0.0,0.0,0.0,0.0,19.04,5.52,0.0
20231104:0709,0.0,0.0,0.0,0.0,0.0,19.29,5.72,0.0
20231104:0809,39.56,7.23,60.58,0.72,10.33,19.51,5.52,0.0
20231104:0909,222.22,118.32,181.08,2.72,22.0,20.09,5.38,0.0
20231104:1009,252.92,79.29,259.42,3.43,32.41,20.84,5.17,0.0
20231104:1109,525.23,404.41,293.47,6.09,40.72,21.5,5.17,0.0
20231104:1209,287.91,52.72,333.89,4.12,45.7,21.87,5.03,0.0
20231104:1309,429.31,199.57,373.15,5.53,46.21,22.32,5.1,0.0
20231104:1409,553.91,442.76,297.89,6.38,42.1,22.38,5.24,0.0
20231104:1509,491.73,416.0,237.13,5.42,34.38,22.41,5.45,0.0
20231104:1609,178.91,55.03,191.54,2.47,24.33,22.29,5.72,0.0
20231104:1709,121.89,73.68,103.91,1.47,12.87,21.96,5.86,0.0
20231104:1809,0.0,0.0,0.0,0.0,0.0,21.32,5.79,0.0
20231104:1909,0.0,0.0,0.0,0.0,0.0,20.67,5.79,0.0
20231104:2009,0.0,0.0,0.0,0.0,0.0,20.48,5.79,0.0
20231104:2109,0.0,0.0,0.0,0.0,0.0,20.37,5.72,0.0
20231104:2209,0.0,0.0,0.0,0.0,0.0,20.27,5.66,0.0
20231104:2309,0.0,0.0,0.0,0.0,0.0,20.2,5.38,0.0
20231105:0009,0.0,0.0,0.0,0.0,0.0,20.12,5.1,0.0
20231105:0109,0.0,0.0,0.0,0.0,0.0,19.94,4.83,0.0
20231105:0209,0.0,0.0,0.0,0.0,0.0,19.88,4.62,0.0
20231105:0309,0.0,0.0,0.0,0.0,0.0,19.73,4.48,0.0
20231105:0409,0.0,0.0,0.0,0.0,0.0,19.64,4.41,0.0
20231105:0509,0.0,0.0,0.0,0.0,0.0,19.58,4.41,0.0
20231105:0609,0.0,0.0,0.0,0.0,0.0,19.53,4.34,0.0
20231105:0709,0.0,0.0,0.0,0.0,0.0,19.31,4.41,0.0
20231105:0809,121.39,104.56,77.46,1.31,10.15,19.53,4.28,0.0
20231105:0909,333.5,302.99,141.29,3.47,21.8,20.34,4.41,0.0
20231105:1009,433.29,339.27,234.55,4.88,32.17,20.99,4.41,0.0
20231105:1109,622.8,643.7,196.41,6.91,40.44,21.71,4.21,0.0
20231105:1209,606.95,529.04,293.89,7.05,45.4,22.24,4.07,0.0
20231105:1309,720.83,831.58,159.92,8.1,45.91,22.54,4.07,0.0
20231105:1409,651.11,700.3,188.32,7.22,41.82,22.83,4.0,0.0
20231105:1509,582.7,653.24,135.09,6.17,34.15,22.9,3.93,0.0
20231105:1609,429.38,457.9,117.61,4.25,24.14,22.77,4.28,0.0
20231105:1709,127.77,83.6,102.57,1.5,12.71,22.38,4.62,0.0
20231105:1809,0.0,0.0,0.0,0.0,0.0,21.86,5.03,0.0
20231105:1909,0.0,0.0,0.0,0.0,0.0,21.33,5.31,0.0
