Latitude (decimal degrees):	28.095
Longitude (decimal degrees):	-15.487
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 27 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,0.0,0.0,0.0,16.87,1.17,0.0
20230101:0109,0.0,0.0,0.0,0.0,0.0,17.2,0.97,0.0
20230101:0209,0.0,0.0,0.0,0.0,0.0,17.95,0.83,0.0
20230101:0309,0.0,0.0,0.0,0.0,0.0,18.2,0.62,0.0
20230101:0409,0.0,0.0,0.0,0.0,0.0,18.19,0.62,0.0
20230101:0509,0.0,0.0,0.0,0.0,0.0,18.07,0.83,0.0
20230101:0609,0.0,0.0,0.0,0.0,0.0,17.96,0.9,0.0
20230101:0709,0.0,0.0,0.0,0.0,0.0,15.38,1.86,0.0
20230101:0809,1.91,0.0,10.04,0.12,2.23,15.11,1.93,0.0
20230101:0909,268.76,243.83,94.86,2.09,13.5,16.33,2.14,0.0
20230101:1009,478.06,464.55,125.47,4.1,23.54,18.77,2.76,0.0
20230101:1109,616.61,625.12,146.12,5.66,31.71,20.0,2.97,0.0
20230101:1209,703.67,743.31,150.74,6.7,37.13,20.72,2.97,0.0
20230101:1309,713.82,745.67,168.31,6.9,38.89,21.03,2.69,0.0
20230101:1409,714.49,789.7,129.09,6.77,36.63,20.97,2.34,0.0
20230101:1509,569.78,542.15,176.4,5.26,30.82,20.83,2.21,0.0
20230101:1609,370.2,286.07,174.9,3.37,22.37,20.29,2.21,0.0
20230101:1709,219.0,188.15,95.4,1.71,12.14,20.02,1.86,0.0
20230101:1809,0.0,0.0,0.0,0.0,0.0,19.16,1.31,0.0
20230101:1909,0.0,0.0,0.0,0.0,0.0,18.75,0.97,0.0
20230101:2009,0.0,0.0,0.0,0.0,0.0,18.31,1.1,0.0
20230101:2109,0.0,0.0,0.0,0.0,0.0,17.9,1.24,0.0
20230101:2209,0.0,0.0,0.0,0.0,0.0,17.51,1.31,0.0
20230101:2309,0.0,0.0,0.0,0.0,0.0,16.92,1.38,0.0
20230102:0009,0.0,0.0,0.0,0.0,0.0,16.51,1.59,0.0
20230102:0109,0.0,0.0,0.0,0.0,0.0,16.17,1.79,0.0
20230102:0209,0.0,0.0,0.0,0.0,0.0,15.94,1.72,0.0
20230102:0309,0.0,0.0,0.0,0.0,0.0,15.75,1.66,0.0
20230102:0409,0.0,0.0,0.0,0.0,0.0,15.55,1.72,0.0
20230102:0509,0.0,0.0,0.0,0.0,0.0,15.26,1.93,0.0
20230102:0609,0.0,0.0,0.0,0.0,0.0,15.25,2.07,0.0
20230102:0709,0.0,0.0,0.0,0.0,0.0,15.85,1.59,0.0
20230102:0809,1.46,0.0,9.13,0.11,2.19,15.61,1.66,0.0
20230102:0909,270.21,245.56,95.09,2.1,13.47,15.9,1.72,0.0
20230102:1009,473.99,460.84,127.8,4.1,23.54,18.77,2.07,0.0
20230102:1109,617.28,630.43,145.04,5.69,31.74,19.72,2.48,0.0
20230102:1209,702.96,739.57,154.3,6.71,37.18,20.16,2.69,0.0
20230102:1309,720.33,752.01,167.2,6.95,38.98,20.41,2.76,0.0
20230102:1409,697.25,725.31,158.54,6.58,36.75,20.44,2.97,0.0
20230102:1509,600.2,591.71,157.88,5.43,30.95,20.32,3.1,0.0
20230102:1609,416.85,357.38,158.26,3.61,22.5,20.09,3.03,0.0
20230102:1709,238.35,212.4,92.92,1.8,12.27,19.75,3.17,0.0
20230102:1809,0.0,0.0,0.0,0.0,0.0,19.17,3.45,0.0
20230102:1909,0.0,0.0,0.0,0.0,0.0,18.58,4.41,0.0
20230102:2009,0.0,0.0,0.0,0.0,0.0,18.22,4.62,0.0
20230102:2109,0.0,0.0,0.0,0.0,0.0,17.92,4.34,0.0
20230102:2209,0.0,0.0,0.0,0.0,0.0,17.64,4.28,0.0
20230102:2309,0.0,0.0,0.0,0.0,0.0,17.51,4.48,0.0
20230103:0009,0.0,0.0,0.0,0.0,0.0,17.36,4.41,0.0
20230103:0109,0.0,0.0,0.0,0.0,0.0,17.27,4.55,0.0
20230103:0209,0.0,0.0,0.0,0.0,0.0,17.19,4.83,0.0
20230103:0309,0.0,0.0,0.0,0.0,0.0,17.13,4.97,0.0
20230103:0409,0.0,0.0,0.0,0.0,0.0,17.0,4.97,0.0
20230103:0509,0.0,0.0,0.0,0.0,0.0,16.84,4.76,0.0
20230103:0609,0.0,0.0,0.0,0.0,0.0,16.75,4.55,0.0
20230103:0709,0.0,0.0,0.0,0.0,0.0,16.86,4.14,0.0
20230103:0809,1.88,0.0,10.04,0.12,2.15,16.75,4.0,0.0
20230103:0909,268.67,241.42,95.98,2.09,13.45,17.2,4.14,0.0
20230103:1009,483.03,457.06,130.09,4.1,23.54,18.18,4.62,0.0
20230103:1109,622.21,602.75,158.75,5.63,31.77,18.87,4.83,0.0
20230103:1209,705.53,693.59,178.5,6.6,37.24,19.38,4.97,0.0
20230103:1309,705.6,661.31,213.13,6.72,39.07,19.69,4.97,0.0
20230103:1409,701.5,691.88,176.96,6.52,36.87,19.86,4.97,0.0
20230103:1509,621.09,608.89,153.52,5.51,31.08,19.9,5.1,0.0
20230103:1609,360.14,255.92,184.52,3.31,22.64,19.73,5.31,0.0
20230103:1709,244.08,215.17,94.21,1.83,12.41,19.32,5.59,0.0
20230103:1809,0.0,0.0,0.0,0.0,0.0,18.63,5.86,0.0
20230103:1909,0.0,0.0,0.0,0.0,0.0,18.03,5.66,0.0
20230103:2009,0.0,0.0,0.0,0.0,0.0,17.63,5.66,0.0
20230103:2109,0.0,0.0,0.0,0.0,0.0,17.37,5.52,0.0
20230103:2209,0.0,0.0,0.0,0.0,0.0,17.11,5.31,0.0
20230103:2309,0.0,0.0,0.0,0.0,0.0,16.95,5.24,0.0
20230104:0009,0.0,0.0,0.0,0.0,0.0,16.86,5.24,0.0
20230104:0109,0.0,0.0,0.0,0.0,0.0,16.75,5.03,0.0
20230104:0209,0.0,0.0,0.0,0.0,0.0,16.67,4.76,0.0
20230104:0309,0.0,0.0,0.0,0.0,0.0,16.61,4.55,0.0
20230104:0409,0.0,0.0,0.0,0.0,0.0,16.55,4.48,0.0
20230104:0509,0.0,0.0,0.0,0.0,0.0,16.52,4.34,0.0
20230104:0609,0.0,0.0,0.0,0.0,0.0,16.5,4.21,0.0
20230104:0709,0.0,0.0,0.0,0.0,0.0,16.52,4.34,0.0
20230104:0809,1.45,0.0,9.13,0.11,2.12,16.46,4.07,0.0
20230104:0909,276.18,250.72,95.69,2.14,13.44,16.92,3.93,0.0
20230104:1009,406.78,313.88,181.63,3.71,23.55,18.03,4.07,0.0
20230104:1109,604.28,558.63,184.76,5.57,31.8,18.87,4.07,0.0
20230104:1209,719.86,736.24,164.12,6.78,37.31,19.44,3.93,0.0
20230104:1309,741.34,758.63,174.83,7.07,39.17,19.78,3.79,0.0
20230104:1409,709.58,721.54,169.47,6.67,36.99,19.99,3.72,0.0
20230104:1509,624.93,624.4,152.9,5.62,31.22,20.05,3.66,0.0
20230104:1609,478.91,461.84,129.32,3.99,22.78,19.96,3.52,0.0
20230104:1709,258.0,236.72,92.35,1.91,12.55,19.67,3.1,0.0
20230104:1809,0.0,0.0,0.0,0.0,0.0,19.14,2.62,0.0
